epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,88959.8,1.21631,0.80258,1.2714,0.86306,0.68073,0.76096,0.42405,1.38961,0.8977,1.41173,0.000517059,0.000517059,0.000517059
56,90250,1.18964,0.79081,1.2657,0.84247,0.70222,0.76166,0.42454,1.40051,0.8887,1.435,0.00050606,0.00050606,0.00050606
57,91984.7,1.19934,0.79662,1.26864,0.81434,0.69524,0.75683,0.41646,1.429,0.90418,1.44812,0.000495062,0.000495062,0.000495062
58,93376.3,1.20111,0.78745,1.268,0.83903,0.69852,0.76618,0.43119,1.39237,0.87722,1.41669,0.000484063,0.000484063,0.000484063
59,94309.7,1.19278,0.77509,1.26314,0.83634,0.67929,0.75965,0.42253,1.40636,0.90042,1.43187,0.000473064,0.000473064,0.000473064
60,95296.7,1.18876,0.77516,1.26319,0.83255,0.69917,0.76658,0.42597,1.40202,0.88653,1.44471,0.000462065,0.000462065,0.000462065
61,96369.2,1.18396,0.7732,1.26077,0.84413,0.70101,0.76343,0.42796,1.40032,0.89309,1.443,0.000451066,0.000451066,0.000451066
62,97393.8,1.17436,0.75209,1.24497,0.84784,0.70565,0.76551,0.4229,1.40525,0.89748,1.4265,0.000440067,0.000440067,0.000440067
63,98221.6,1.1771,0.75989,1.25011,0.82738,0.71147,0.76976,0.42296,1.40227,0.86917,1.43478,0.000429068,0.000429068,0.000429068
64,99405.7,1.18415,0.7632,1.24785,0.8675,0.69724,0.77733,0.42825,1.40641,0.87251,1.44038,0.000418069,0.000418069,0.000418069
65,100352,1.17677,0.75511,1.24019,0.84915,0.71581,0.78286,0.43742,1.3906,0.86211,1.41682,0.00040707,0.00040707,0.00040707
66,101305,1.18023,0.75429,1.25145,0.84551,0.70229,0.76977,0.42917,1.39398,0.88571,1.42476,0.000396071,0.000396071,0.000396071
67,102331,1.17133,0.74713,1.2415,0.86348,0.69602,0.77049,0.42821,1.40372,0.86765,1.44068,0.000385073,0.000385073,0.000385073
68,103350,1.15128,0.73298,1.23181,0.84448,0.70495,0.7682,0.42818,1.40053,0.8695,1.45032,0.000374074,0.000374074,0.000374074
69,104371,1.15767,0.74235,1.24139,0.83046,0.70494,0.76514,0.4258,1.41175,0.88943,1.45698,0.000363075,0.000363075,0.000363075
70,105405,1.14689,0.73096,1.22924,0.81048,0.72948,0.77531,0.42731,1.40248,0.86226,1.43869,0.000352076,0.000352076,0.000352076
71,106249,1.15002,0.73116,1.23236,0.85043,0.69277,0.77083,0.42731,1.40337,0.88213,1.44585,0.000341077,0.000341077,0.000341077
72,107197,1.14162,0.72226,1.22167,0.8291,0.70984,0.77496,0.42934,1.40675,0.86276,1.44698,0.000330078,0.000330078,0.000330078
73,108150,1.13796,0.71302,1.22362,0.82004,0.71723,0.76609,0.4306,1.40712,0.86705,1.42386,0.000319079,0.000319079,0.000319079
